"Team,teamcode,url"
"Arizona Diamondbacks,ARI, https://en.wikipedia.org/wiki/Arizona_Diamondbacks#/media/File:Arizona_Diamondbacks_logo.svg.png"
"Atlanta Braves,ATL,https://en.wikipedia.org/wiki/Atlanta_Braves#/media/File:Atlanta_Braves.svg.png"
"Baltimore Orioles,BAL, https://en.wikipedia.org/wiki/Baltimore_Orioles#/media/File:Baltimore_Orioles_cap.svg.png"
"Boston Red Sox,BOS, https://en.wikipedia.org/wiki/Boston_Red_Sox#/media/File:RedSoxPrimary_HangingSocks.svg.png"
"Chicago White Sox,CHA, https://en.wikipedia.org/wiki/Chicago_White_Sox#/media/File:Chicago_White_Sox.svg.png"
"Chicago Cubs,CHN, https://en.wikipedia.org/wiki/Chicago_Cubs#/media/File:Chicago_Cubs_logo.svg.png"
"Cincinnati Reds,CIN, https://en.wikipedia.org/wiki/Cincinnati_Reds#/media/File:Cincinnati_Reds_Logo.svg.png"
"Cleveland Indians,CLE, https://en.wikipedia.org/wiki/Cleveland_Guardians#/media/File:Guardians_winged_%22G%22.svg.png"
"Colorado Rockies,COL, https://en.wikipedia.org/wiki/Colorado_Rockies#/media/File:Colorado_Rockies_logo.svg.png"
"Detroit Tigers,DET, https://en.wikipedia.org/wiki/Detroit_Tigers#/media/File:Detroit_Tigers_logo.svg.png"
"Houston Astros,HOU, https://en.wikipedia.org/wiki/Houston_Astros#/media/File:Houston-Astros-Logo.svg.png"
"Kansas City Royals,KCA, https://en.wikipedia.org/wiki/Kansas_City_Royals#/media/File:Kansas_City_Royals.svg.png"
"Los Angeles Angels,ANA, https://en.wikipedia.org/wiki/Los_Angeles_Angels#/media/File:Los_Angeles_Angels_of_Anaheim.svg.png"
"Los Angeles Dodgers,LAN, https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#/media/File:Los_Angeles_Dodgers_Logo.svg.png"
"Miami Marlins,FLO, https://en.wikipedia.org/wiki/Miami_Marlins#/media/File:Marlins_team_logo.svg.png"
"Milwaukee Brewers,MIL, https://en.wikipedia.org/wiki/Milwaukee_Brewers#/media/File:Milwaukee_Brewers_logo.svg.png"
"Minnesota Twins,MIN, https://en.wikipedia.org/wiki/Minnesota_Twins#/media/File:Minnesota_Twins_logo_(low_res).svg"
"New York Yankees,NYA, https://en.wikipedia.org/wiki/New_York_Yankees#/media/File:NewYorkYankees_PrimaryLogo.svg"
"New York Mets,NYN, https://en.wikipedia.org/wiki/New_York_Mets#/media/File:New_York_Mets.svg"
"Oakland Athletics,OAK, https://en.wikipedia.org/wiki/Oakland_Athletics#/media/File:Oakland_A's_logo.svg"
"Philadelphia Phillies,PHI, https://en.wikipedia.org/wiki/Philadelphia_Phillies#/media/File:Philadelphia_Phillies_Insignia.svg"
"Pittsburgh Pirates,PIT, https://en.wikipedia.org/wiki/Pittsburgh_Pirates#/media/File:Pittsburgh_Pirates_logo_2014.svg"
"San Diego Padres,SDN, https://en.wikipedia.org/wiki/San_Diego_Padres#/media/File:SD_Logo_Brown.svg"
"San Francisco Giants,SFN, https://en.wikipedia.org/wiki/San_Francisco_Giants#/media/File:San_Francisco_Giants_Logo.svg"
"Seattle Mariners,SEA, https://en.wikipedia.org/wiki/Seattle_Mariners#/media/File:Seattle_Mariners_logo_(low_res).svg"
"St. Louis Cardinals,SLN, https://en.wikipedia.org/wiki/St._Louis_Cardinals#/media/File:St._Louis_Cardinals_logo.svg"
"Tampa Bay Rays,TBA, https://en.wikipedia.org/wiki/Tampa_Bay_Rays#/media/File:Tampa_Bay_Rays.svg"
"Texas Rangers,TEX, https://en.wikipedia.org/wiki/Texas_Rangers_(baseball)#/media/File:Texas_Rangers.svg"
"Toronto Blue Jays,TOR, https://en.wikipedia.org/wiki/Toronto_Blue_Jays#/media/File:Toronto_Blue_Jays_Main_Logo.png"
"Washington Nationals,WAS, https://en.wikipedia.org/wiki/Washington_Nationals#/media/File:Washington_Nationals_logo.svg"
""
